Macau,21789.29
Monaco,15470
Singapore,8634.12
Hong Kong,6543.24
Gaza Strip,5328.39
Gibraltar,4550.92
Holy See (Vatican City),2272.73
Bahrain,1980.27
Malta,1447.05
Bermuda,1328.7
Maldives,1315.11
Bangladesh,1095.59
Jersey,871.32
Guernsey,859.64
Barbados,685.02
Mauritius,676.16
Coral Sea Islands,672.33
Aruba,663.49
Taiwan,656
Saint Martin,598.46
San Marino,561.18
Lebanon,525.92
"Korea, South",519.81
West Bank,494.89
Rwanda,482.67
Nauru,465.95
Tuvalu,436.23
Marshall Islands,430.48
Burundi,426.37
Netherlands,415.96
India,403.4
Haiti,398.84
Israel,395.47
Belgium,383.93
Comoros,378.65
Philippines,363.94
Puerto Rico,350.29
Sri Lanka,348.87
Japan,332.11
Grenada,328.76
Wake Island,310.46
Guam,309.72
El Salvador,308.02
Vietnam,298.06
Pakistan,293.31
Saint Barthelemy,284.88
Saint Lucia,270.27
United Kingdom,269.94
Saint Vincent and the Grenadines,260.64
Jamaica,255.53
British Virgin Islands,247.56
Liechtenstein,244.61
Luxembourg,242.99
Trinidad and Tobago,235.72
Cayman Islands,234.64
Nigeria,231.69
Germany,224.52
Antigua and Barbuda,221.82
American Samoa,220.7
Sao Tome and Principe,219.01
Dominican Republic,215.73
"Korea, North",212.74
Qatar,210.96
Seychelles,210.95
Italy,207.08
Saint Kitts and Nevis,206.21
Nepal,206.06
Switzerland,203.6
Anguilla,198.79
"Gambia, The",192.39
Paracel Islands,185.81
Andorra,182.98
Uganda,179.44
Malawi,178.9
Kosovo,177.53
Kuwait,168.02
Isle of Man,158.22
Guatemala,157.53
Togo,151.6
Akrotiri,147.93
"Micronesia, Federated States of",145.92
China,145.26
Cape Verde,144.62
Tonga,142.03
Indonesia,140.2
Kiribati,137.85
Denmark,136.2
Czech Republic,135.7
Thailand,134.43
Ghana,123
Poland,122.43
Jordan,121.11
United Arab Emirates,119.52
Azerbaijan,117.85
Benin,114.23
Portugal,111.88
Wallis and Futuna,111.65
Slovakia,110.95
Northern Mariana Islands,110.85
Albania,106.95
Austria,105.63
France,105.39
Hungary,105.04
Turkey,104.67
Egypt,103.97
Slovenia,103.72
Syria,103.49
Armenia,101.58
Costa Rica,99.76
Cuba,99.76
Moldova,99.39
Malaysia,98.99
Spain,98.97
Dominica,98.86
Ethiopia,97.9
Cambodia,93.5
East Timor,93.03
Sierra Leone,92.35
Kenya,92.23
Serbia,90.51
Romania,89.36
Iraq,88.69
Burma,83.64
Macedonia,82.68
Honduras,82.39
Brunei,80.57
Greece,80.38
Senegal,79.99
Morocco,79.64
Burkina Faso,75.99
Bosnia and Herzegovina,74.92
Croatia,74.7
Ireland,73.66
Ukraine,72.77
Samoa,71.98
Tunisia,71.64
French Polynesia,70.82
Georgia,70.73
Uzbekistan,68.32
Mexico,65.49
Lesotho,64.88
Swaziland,63.61
Bulgaria,62.83
Tanzania,61.81
Tajikistan,61.58
Ecuador,59.62
Turks and Caicos Islands,58.99
Cameroon,58.36
Yemen,56.6
Afghanistan,56.18
Virgin Islands,55.62
Guinea-Bissau,53.35
Montserrat,52.68
Eritrea,51.71
Panama,51.63
Iran,51.53
Fiji,51.22
Guinea,50.95
Norfolk Island,48.56
Nicaragua,47.58
Palau,47.24
South Africa,46.32
Madagascar,45.92
Belarus,45.65
Liberia,45.55
Montenegro,44.15
"Congo, Democratic Republic of the",43.41
Colombia,43.1
Cocos (Keeling) Islands,42.57
Lithuania,41.83
Djibouti,39.73
Mozambique,37.65
Zimbabwe,37.23
Faroe Islands,37.06
Cook Islands,36.33
United States,33.83
Laos,31.45
Venezuela,31.41
Kyrgyzstan,29.83
Equatorial Guinea,29.81
Latvia,29.13
Estonia,27.17
Angola,26.09
Brazil,24.86
Peru,24.83
Sudan,24.48
Vanuatu,24.48
"Bahamas, The",24.33
Chile,24.05
Solomon Islands,23.71
Zambia,23.15
Sweden,22.66
Saint Pierre and Miquelon,22.1
Bhutan,20.38
British Indian Ocean Territory,20
Saint Helena,19.95
Uruguay,19.22
Somalia,18.44
New Zealand,18.32
Algeria,18.04
Niger,17.97
Paraguay,17.68
Belize,17.4
Norway,16.89
Finland,16.48
South Sudan,16.39
Argentina,16.36
Christmas Island,16.33
Saudi Arabia,15.9
Mali,15.77
Papua New Guinea,15.68
New Caledonia,15.61
"Congo, Republic of the",15.48
Chad,13.14
Oman,11.74
Turkmenistan,11.33
Bolivia,10.6
Central African Republic,9.62
Gabon,8.33
Russia,8.29
Niue,7.69
Kazakhstan,7.01
Botswana,3.98
Libya,3.92
Mauritania,3.89
Canada,3.78
Suriname,3.72
Guyana,3.49
Iceland,3.41
Australia,3.29
Namibia,3.19
Western Sahara,2.45
Mongolia,2.03
Falkland Islands (Islas Malvinas),0.26
Svalbard,0.05
Greenland,0.03
Antarctica,0
Average,25
